order_date,sales_staff_code,order_method_it,order_method_en,order_method_nl,order_detail_code,return_count,order_method_no,order_method_el,unit_cost,order_method_tc,order_detail_code_2,retailer_name,retailer_name_mb,order_method_cs,order_method_hu,order_method_ms,order_method_th,quantity,order_number_2,sales_branch_code,promotion_code,order_method_id,order_number,order_method_sc,order_method_fi,order_method_ru,retailer_site_code,unit_sale_price,order_method_da,order_method_pl,order_method_de,order_method_ko,ship_date,order_method_sv,order_method_fr,order_method_code_2,unit_price,order_method_pt,order_method_es,order_close_date,retailer_contact_code,order_method_code,order_method_ja,product_number
2007-06-14 00:00:00.0,10623,Web,Web,Internet,1100684,,Internett,Διαδίκτυο,92.58,網站,,VIP Department Stores,VIP Department Stores,Web,Web,Web,เว็บไซต์,253,105558,17,0,Web,105558,Web,Web,Web,20011,127.40,Internet,Sieć WWW,Web,인터넷,2007-06-18 00:00:00.0,Webb,Site Web,5,134.11,Web,Web,2007-07-04 00:00:00.0,3022,5,ホームページ,79110
2007-06-14 00:00:00.0,10623,Web,Web,Internet,1100685,,Internett,Διαδίκτυο,40.00,網站,,VIP Department Stores,VIP Department Stores,Web,Web,Web,เว็บไซต์,238,105558,17,0,Web,105558,Web,Web,Web,20011,81.28,Internet,Sieć WWW,Web,인터넷,2007-06-18 00:00:00.0,Webb,Site Web,5,85.56,Web,Web,2007-07-04 00:00:00.0,3022,5,ホームページ,81110
2007-06-14 00:00:00.0,10623,Web,Web,Internet,1100686,,Internett,Διαδίκτυο,30.00,網站,,VIP Department Stores,VIP Department Stores,Web,Web,Web,เว็บไซต์,64,105558,17,0,Web,105558,Web,Web,Web,20011,48.88,Internet,Sieć WWW,Web,인터넷,2007-06-18 00:00:00.0,Webb,Site Web,5,48.88,Web,Web,2007-07-04 00:00:00.0,3022,5,ホームページ,63110
2007-06-14 00:00:00.0,10623,Web,Web,Internet,1100687,,Internett,Διαδίκτυο,45.00,網站,,VIP Department Stores,VIP Department Stores,Web,Web,Web,เว็บไซต์,43,105558,17,0,Web,105558,Web,Web,Web,20011,96.05,Internet,Sieć WWW,Web,인터넷,2007-06-18 00:00:00.0,Webb,Site Web,5,98.01,Web,Web,2007-07-04 00:00:00.0,3022,5,ホームページ,66110
2007-06-12 00:00:00.0,10080,Web,Web,Internet,1100698,,Internett,Διαδίκτυο,396.00,網站,,"Grupo Lozano, S.A. de C.V.","Grupo Lozano, S.A. de C.V.",Web,Web,Web,เว็บไซต์,157,105559,24,0,Web,105559,Web,Web,Web,20497,618.35,Internet,Sieć WWW,Web,인터넷,2007-06-15 00:00:00.0,Webb,Site Web,5,650.89,Web,Web,2007-06-15 00:00:00.0,3516,5,ホームページ,12110
2007-06-12 00:00:00.0,10080,Web,Web,Internet,1100699,,Internett,Διαδίκτυο,213.33,網站,,"Grupo Lozano, S.A. de C.V.","Grupo Lozano, S.A. de C.V.",Web,Web,Web,เว็บไซต์,290,105559,24,0,Web,105559,Web,Web,Web,20497,352.32,Internet,Sieć WWW,Web,인터넷,2007-06-15 00:00:00.0,Webb,Site Web,5,370.86,Web,Web,2007-06-15 00:00:00.0,3516,5,ホームページ,26110
2007-06-12 00:00:00.0,10080,Web,Web,Internet,1100700,,Internett,Διαδίκτυο,43.77,網站,,"Grupo Lozano, S.A. de C.V.","Grupo Lozano, S.A. de C.V.",Web,Web,Web,เว็บไซต์,510,105559,24,0,Web,105559,Web,Web,Web,20497,61.75,Internet,Sieć WWW,Web,인터넷,2007-06-15 00:00:00.0,Webb,Site Web,5,65.00,Web,Web,2007-06-15 00:00:00.0,3516,5,ホームページ,47110
2007-06-12 00:00:00.0,10080,Web,Web,Internet,1100701,,Internett,Διαδίκτυο,19.52,網站,,"Grupo Lozano, S.A. de C.V.","Grupo Lozano, S.A. de C.V.",Web,Web,Web,เว็บไซต์,1507,105559,24,0,Web,105559,Web,Web,Web,20497,38.00,Internet,Sieć WWW,Web,인터넷,2007-06-15 00:00:00.0,Webb,Site Web,5,40.00,Web,Web,2007-06-15 00:00:00.0,3516,5,ホームページ,61110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100712,,Internett,Διαδίκτυο,14.04,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,29,105560,22,0,Web,105560,Web,Web,Web,20068,34.30,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,35.00,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,97110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100713,,Internett,Διαδίκτυο,2.76,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,19,105560,22,0,Web,105560,Web,Web,Web,20068,6.00,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,6.00,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,100110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100714,,Internett,Διαδίκτυο,1.88,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,50,105560,22,0,Web,105560,Web,Web,Web,20068,7.00,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,7.00,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,88110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100715,,Internett,Διαδίκτυο,2.33,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,105,105560,22,0,Web,105560,Web,Web,Web,20068,7.00,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,7.00,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,89110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100716,,Internett,Διαδίκτυο,2.42,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,400,105560,22,0,Web,105560,Web,Web,Web,20068,7.00,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,7.00,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,90110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100717,,Internett,Διαδίκτυο,8.65,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,190,105560,22,0,Web,105560,Web,Web,Web,20068,17.30,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,17.65,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,22110
2007-06-11 00:00:00.0,10073,Web,Web,Internet,1100718,,Internett,Διαδίκτυο,8.12,網站,,Outdoor Gear Co-op,Outdoor Gear Co-op,Web,Web,Web,เว็บไซต์,391,105560,22,0,Web,105560,Web,Web,Web,20068,14.44,Internet,Sieć WWW,Web,인터넷,2007-06-13 00:00:00.0,Webb,Site Web,5,14.89,Web,Web,2007-06-13 00:00:00.0,3081,5,ホームページ,2110
