order_date,sales_staff_code,order_method_it,order_method_en,order_method_nl,order_detail_code,return_count,order_method_no,order_method_el,unit_cost,order_method_tc,order_detail_code_2,retailer_name,retailer_name_mb,order_method_cs,order_method_hu,order_method_ms,order_method_th,quantity,order_number_2,sales_branch_code,promotion_code,order_method_id,order_number,order_method_sc,order_method_fi,order_method_ru,retailer_site_code,unit_sale_price,order_method_da,order_method_pl,order_method_de,order_method_ko,ship_date,order_method_sv,order_method_fr,order_method_code_2,unit_price,order_method_pt,order_method_es,order_close_date,retailer_contact_code,order_method_code,order_method_ja,product_number
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083607,,Internett,Διαδίκτυο,1.85,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,601,104666,30,0,Web,104666,Web,Web,Web,20335,5.00,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,5.00,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,94110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083608,,Internett,Διαδίκτυο,277.76,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,64,104666,30,0,Web,104666,Web,Web,Web,20335,506.11,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,532.75,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,103110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083609,,Internett,Διαδίκτυο,341.60,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,95,104666,30,0,Web,104666,Web,Web,Web,20335,661.20,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,696.00,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,106110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083610,,Internett,Διαδίκτυο,421.00,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,46,104666,30,0,Web,104666,Web,Web,Web,20335,865.28,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,910.82,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,108110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083611,,Internett,Διαδίκτυο,12.79,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,783,104666,30,0,Web,104666,Web,Web,Web,20335,27.25,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,27.81,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,40110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083612,,Internett,Διαδίκτυο,52.50,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,527,104666,30,0,Web,104666,Web,Web,Web,20335,73.02,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,76.86,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,24110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083613,,Internett,Διαδίκτυο,19.76,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,363,104666,30,0,Web,104666,Web,Web,Web,20335,39.84,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,40.65,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,21110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083614,,Internett,Διαδίκτυο,8.45,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,325,104666,30,0,Web,104666,Web,Web,Web,20335,17.65,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,17.65,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,22110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083615,,Internett,Διαδίκτυο,15.93,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,632,104666,30,0,Web,104666,Web,Web,Web,20335,23.32,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,23.80,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,3110
2006-12-14 00:00:00.0,10407,Web,Web,Internet,1083616,,Internett,Διαδίκτυο,0.85,網站,,Esportes Grumari,Esportes Grumari,Web,Web,Web,เว็บไซต์,1041,104666,30,0,Web,104666,Web,Web,Web,20335,3.59,Internet,Sieć WWW,Web,인터넷,2006-12-18 00:00:00.0,Webb,Site Web,5,3.66,Web,Web,2006-12-18 00:00:00.0,3320,5,ホームページ,4110
